PART,CONDITION
OF REFRIGERANT,LOSS
OF REFRIGERANT,LOSS
AIR FILTERS,DIRTY
FCU,DIRTY
VALVE ACTUATOR,DEGRADED
THERMOSTAT,INOP
HANDWHEEL,NOT PAINTED/LAGGED
HANDWHEEL,NOT PAINTED/LAGGED
HANDWHEEL,NOT PAINTED/LAGGED
HANDWHEEL,NOT PAINTED/LAGGED
HANDWHEEL,NOT PAINTED/LAGGED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
GASKET,REPLACEMENT
PREHEATER,NO POWER
PREHEATER,NO POWER
PREHEATER,NO POWER
INDICATION,Not Detected
PREHEATER,TC1 OUT FAULT
THERMOSTAT CIRCUIT,INOPERABLE
THERMOSTAT,INOPERABLE
FIRE DAMPER,INOPERABLE
VENT SYSTEM,Not Detected
VENT SYSTEM,CLEANING
ACCESS COVER,DAMAGED
MATL,WRONG
VENT SYSTEM,Not Detected
VENT TRANSITION,DETERIORATED
VENT SYSTEM,Not Detected
SPIRAL DUCTING,DAMAGED
AIR FILTERS,DIRTY
DIFFUSING TERMINAL,DAMAGED
Not Detected,MISSING
DRIP PAN,DEGRADED
FILTER,REPLACE
FILTER,REPLACE
Not Detected,PMS(5140/018
Not Detected,Not Detected
FCU FILTERS,REPLACEMENT
FCU FILTERS,REPLACEMTENT
FCUS,PMS
FCUS,PMS
CWCV,INOP
MOTOR,INOP
MOTOR,INOP
MOTOR,INOP
ACCOMPLISH DR,Not Detected
GRIDDLE DAMPER,WON'T
SWITCH,OUT OF CAL
SWITCH,OUT OF CAL
BEARINGS,INOP
BEARINGS,INOP
Not Detected,Not Detected
HALON SUPPLY DAMPER,NO VPI
EXHAUST DAMPER,NO VPI
OUTLET THERMOMETER,Not Detected
CONDENSER FOULING,Not Detected
CONDENSER FOULING,Not Detected
VGD POINTER,MISSING
CONDENSER FOULING,Not Detected
VLV,REPLACMENT
VLV,REPLACMENT
VLV,REPLACMENT
MOISTURE INDICATOR,REPLACMENT
MOISTURE INDICATOR,REPLACMENT
MOIISTURE INDICATOR,REPLACMENT
MOISTURE INDICATOR,REPLACMENT
MOISTURE INDICATOR,REPLACMENT
MOISTURE INDICATOR,REPLACMENT
MOISTURE INDICATOR,REPLACMENT
MOISTURE INDICATOR,REPLACMENT
MOISTURE INDICATOR,REPLACMENT
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
FILTER,DIRTY
AIR FILTER,DIRYT
EXCESSIVE VIBRATION,Not Detected
FIRE DAMPER,FAILED
FIRE DAMPER,FAILED
NOZZLES,DIRTY
NOZZLES,DIRTY
NOZZLES,DIRTY
FIRE SW,MISSING
AIR FLOW,Not Detected
PUMP,DAMAGED
COND,Not Detected
COND,Not Detected
COND,Not Detected
COND,Not Detected
STRAINER,CLOGGED
VENT DUCT,MISSING
Not Detected,CRACK
PREHEATER,Not Detected
SCREW,MISSING
LAGGING,DEGRADED
HORN,BROKEN
HORN,BROKEN
HORN,BROKEN
DIFFUSER,DAMAGED
VENTILATION SCREEN,LEAK
FCU MOTOR,SEIZED
PANEL,MONITORING
VENT DUCT SECTION,MISSING
MOTOR WINDINGS,DAMAGED
FAN DOES,NOT OPERATE
O-RING,TORN
VENT,Not Detected
FCU FILTER,REPLACEMENT
AIR FLTR,REPLACEMENT
AIR FLTR,REPLACEMENT
FCU SCREWS,MISSING
MAC UNIT,WEAR
MAC UNIT,WEAR
MAC UNIT,WEAR
MAC UNIT,WEAR
MAC UNIT,WEAR
FCA,WEAR
FCA,WEAR
FILTER,REPLACEMENT
ASSY,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,PMS
Not Detected,PMS
CONTACTORS,DEGRADED
STRAINER,SEIZED
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
MOTOR,REPLACEMENT
EXHAUST VENT,FAILED
EXHAUST VENT,FAILED
VENTRI,REJECTED
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
BLOWN,Not Detected
BLOWN,Not Detected
BLOWN,Not Detected
BLOWN,Not Detected
BLOWN,Not Detected
BLOWN,Not Detected
BLOWN,Not Detected
BLOWN,Not Detected
BLOWN,Not Detected
VENT S-01,INOP
VENT S-01,INOP
DUCT HEATER,INOP
DUCT HEATER,INOP
GAUGE,BROKEN
FLOW RESTRICTORS,Not Detected
AIRFLOW PANEL,FAULTY
AIRFLOW PANEL,FAULTY
VENT,DIRTY
VENT,DIRTY
GAGE,BROKEN
METAL,CORRODED
FOUNDATION,CORRODED
CLEAN,OUT REQUIRE
LAGGING CHW CHECK VLV,WORN
COOLING COIL,LEAKING
COIL,CORRODED
Not Detected,PMS
Not Detected,PMS
Not Detected,PMS
Not Detected,PMS
STRAINER,NEEDS REPLACEMENT
MOTOR,DAMAGED
FILTERS,DIRTY
REPAIR VENTILATION LAGGING,Not Detected
DRAIN,CLOGGED
VENTILATION TRAINING,Not Detected
THERMOSTAT,INOP
VALVE MALFUNCTION,Not Detected
OFF BUTTON,BROKEN
FAN BLADES,CORRODED
Not Detected,Not Detected
VENTILATION,STRIPPED
DECK,LEAKING
Not Detected,MISSING
FAN ROOM,REQUIRED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
GAUGE LINE VALVES,REPLACE
GAUGE LINE VALVES,REPLACE
GAUGE LINE VALVES,REPLACE
FLANGE FASTENER CORROSION,Not Detected
FILTER,NEEDS REPLACED
Not Detected,Not Detected
Not Detected,Not Detected
PRESSURE SWITCH,LEAK
Not Detected,MAINTENANCE
RESILIENT MOUNTS,MISSING
THERMOSTAT,INOP
MOTOR,BURNT
Not Detected,FAULTY
Not Detected,FAULTY
Not Detected,LIGHTS
VALVE,LEAKING
LOAD INDICATORS,INOP
VENT SCREEN,NR1 CATAPULT
TRANSDUCER,OUT OF CALIBRATION
TRANSDUCER,OUT OF CALIBRATION
VENT,DIRTY
FCU BELTS,MISSING
SCREWS,MISSING
BUTTERFLY VLV,DEGRADED
BUTTERFLY VLV,DEGRADED
VENT DAMPER,INOP
3IV,HORN
FAN,BROKEN
FAN,BROKEN
FAN,BROKEN
FILTER,REPLACEMENT
FILTERS,WORN
VENT DUCT,COVERED
FCA,MISSING
VENT,INOP
STATION,INOP
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
COIL,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
COIL,RUPTURED
VALVE,INOPERABLE
FILTERS,DEGRADED
FILTER,DIRTY
VENT,HOLES
SW FLUSHING VALVE,Not Detected
SWITCH,BROKEN
SWITCH,BROKEN
SWITCH,BROKEN
SWITCH,BROKEN
SCREWS,MISSING
VENT SYSTEM,DIRTY
COOLING COIL,DIRTY
VENT,DIRTY
DRAIN LINE,CLOGGED
VENT REQUIRES,REPLACEMENT
FILTERS,Not Detected
Not Detected,WORN COMPONENTS
Not Detected,WORN COMPONENTS
Not Detected,WORN COMPONENTS
Not Detected,WORN COMPONENTS
Not Detected,WORN COMPONENTS
Not Detected,WORN COMPONENTS
Not Detected,WORN COMPONENTS
OF REFRIGERANT,LOSS
AIR FILTERS,INCORRECT
SCREWS,SEIZED
BELT,MISSING
BELT,MISSING
PIPING RECONFIGURATION,Not Detected
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
DRIP PAN,DEGRADED
VENT,DIRTY
VENT,DIRTY
FAN FAILS,Not Detected
LIGHT INDICATION,FAULTY
1MC,Not Detected
MATERIAL,REQUIRED
Not Detected,SEEPING
FILLED,Not Detected
Not Detected,LEAK
DRIVE BELT,DEGRADED
Not Detected,RUST
Not Detected,LEAKS
Not Detected,CORROSION
Not Detected,Not Detected
VENT,INOP
CONVECTOR KNOB,MISSING
VALVE,WORN
VALVE,WORN
VALVE,WORN
VALVE,WORN
VALVE,WORN
VALVE,WORN
VALVE,WORN
VALVE,WORN
SW STRAINER,SEIZED
SW STRAINER,SEIZED
SW STRAINER,SEIZED
SW STRAINER,SEIZED
SW STRAINER,SEIZED
MARLO COIL,INOP
HTR VALVE,NEEDS REPAIR
HTR VALVE,NEEDS REPAIR
HTR VALVE,NEEDS REPAIR
HTR VALVE,NEEDS REPAIR
Not Detected,WORN COMPONENTS
VALVE,INOPERABLE
FUSES,NOT INSTALLED
VENT MOTOR,INOP
VENT MOTOR,INOP
VENT,INOP
Not Detected,PAINT
Not Detected,PAINT
VENTILATION FLOW,Not Detected
DESMOKING SYSTEM,INOP
Not Detected,MODULES
FILTER,MISSING
FILTER,MISSING
FILTER,MISSING
FILTER,MISSING
FILTER,MISSING
FILTER,MISSING
FILTER,MISSING
FILTER,MISSING
VENT FILTERS,Not Detected
VENT FILTERS,Not Detected
VENT FILTERS,Not Detected
VENT FILTERS,Not Detected
DRIP PAN,DEGRADED
DRIP PAN AND LAGGING,DEGRADED
VENT TRANSITION,DETERIORATED
COOLING COIL,DETERIORATED
CHW SOLENOID VALVES,INOPERABLE
COOLING COIL,DETERIORATED
VALVE,INOPERABLE
FASTENERS,IMPROPERLY
AIR FILTERS,DIRTY
DIFFUSING TERMINALS,MISSING
THERMOSTAT,INOPERABLE
DUST COVER,MISSING
MATERIAL,INCORRECT
MATERIAL,INCORRECT
PLENUM,DAMAGED
DIFFUSING TERMINAL,MISSING
DIFFUSING TERMINALS,DAMAGED
WTC,INOPERABLE
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
PUMP,LEAKAGE
Not Detected,DUST
DIFFUSER,MISSING
Not Detected,MISSING PARTS
Not Detected,MISSING PARTS
Not Detected,MISSING PARTS
EMPTY,Not Detected
GAGE,LINE BROKEN
LABEL PLATE,INACCESSIBLE
MTR,NEEDS TO BE OVERHAUL
MTR,NEEDS TO BE OVERHAUL
VALVE,FAULTY
VALVE,FAULTY
SHEET GASKET,WORN
VENT DIFFUSER,MISSING
AC UNITS,Not Detected
ROTARY SWITCH,MISSING
ALARM,DEWPOINT
AC OIL SIGHT,LEAKS
VLV,DEGRADED
VLV,DEGRADED
VLV,DEGRADED
VLV,DEGRADED
VLV,DEGRADED
DIALABLE ORIFICE,DEGRADED
DIALABLE ORIFICE,DEGRADED
DIALABLE ORIFICE,DEGRADED
DIALABLE ORIFICE,DEGRADED
DIALABLE ORIFICE,DEGRADED
DIALABLE ORIFICE,DEGRADED
DIALABLE ORIFICE,DEGRADED
DIALABLE ORIFICE,DEGRADED
DIALABLE ORIFICE,DEGRADED
DIALABLE ORIFICE,DEGRADED
DIALABLE ORIFICE,DEGRADED
DIALABLE ORIFICE,DEGRADED
DIALABLE ORIFICE,DEGRADED
Not Detected,Not Detected
Not Detected,Not Detected
FILTER AND VENT COVER,MISSING
HTR VALVE,NEEDS REPAIR
HTR VALVE,NEEDS REPAIR
HTR VALVE,NEEDS REPAIR
HTR VALVE,NEEDS REPAIR
HTR VALVE,NEEDS REPAIR
VLV,NEEDS REPLACEMENT
"CHEM, COLL ALARM HANDLES",Not Detected
"CHEM, COLL ALARM HANDLES",Not Detected
"CHEM, COLL ALARM HANDLES",Not Detected
"CHEM, COLL ALARM HANDLES",Not Detected
REFRIGERANT,LOW ON
REFRIGERANT,LOW ON
REFRIGERANT,LOW ON
REFRIGERANT,LOW ON
FILTERS,DIRTY
SPEAKER,BROKEN
FAN COIL UNIT,FAULTY
CWR/CWS CONFIG,INCORRECT
COLOR,PAINTED WRONG
CHW VALVE,MISSING
INDICATOR INSTALL,LOAD
INDICATOR INSTALL,LOAD
VENT ACCESS,Not Detected
Not Detected,XMTR
Not Detected,XMTR
Not Detected,XMTR
SCREWS,MISSING
SCREWS,MISSING
SCREWS,MISSING
SCREWS,MISSING
FILTERS,Not Detected
COOLING COIL,RUPTURED
DIFFUSING TERMINAL,DAMAGED
HANDLE,MISSING
VENT SYSTEM,Not Detected
COOLING COIL,DETERIORATED
VALVE,INOPERABLE
COOLING COIL,DETERIORATED
VALVE,INOPERABLE
NEW FILTERS,Not Detected
NEW FILTERS,Not Detected
NEW FILTERS,Not Detected
NEW FILTERS,Not Detected
NEW FILTERS,Not Detected
NEW FILTERS,Not Detected
NEW FILTERS,Not Detected
NEW FILTERS,Not Detected
NEW FILTERS,Not Detected
NEW FILTERS,Not Detected
NEW FILTERS,Not Detected
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
1MC MOUNT,BROKEN
FCU,INOP
ALARM,FAILED
VENTILATION HAS,HOLES
SWITCH,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
SCREWS,MISSING
COOLING COIL,DEGRADED
LAGGING,DAMAGED
ACCESS COVER,CORRODED
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
VAV,BROKEN
AIR FILTERS,REPLACE
VALVES,1.0
VALVES,1.0
VALVES,1.0
VALVES,1.0
VALVES,1.0
METAL,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
CONTROL STATION,Not Detected
ATTACH FCU TO CHW SYSTEM,Not Detected
COOLING COIL,RUPTURED
FILTERS,DIRTY
FILTERS,DIRTY
FILTER,DIRTY
FILTERS,DIRTY
VENT ACCESS,MISSING
VENTI CONTACTOR,Not Detected
COOLING COIL,DETERIORATED
VALVE,INOPERABLE
CHWSOLENOID VALVE,DETERIORATED
STUCK CLOSED,Not Detected
THERMOSTAT,INOPERABLE
THERMOSTAT CIRCUIT,INOPERABLE
THERMOSTAT,INOPERABLE
VENT SYSTEM,CLEANING
AIR FILTER,NOT INSTALLED
VENT SYSTEM,Not Detected
DUCTING TRANSITION,DAMAGED
MATERIAL,INCORRECT
VENT SYSTEM,CLEANING
HANDWHEEL,MISSING
VENT,DIRTY
Not Detected,BEYOND REPAIR
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
Not Detected,Not Detected
FILTER,DIRTY
ACCESS PNL SOCKETS,Not Detected
SCREEN COVER,MISSING
SCREEN COVER,MISSING
SCREW BRACKETS,MISSING
HEATING COIL,RUST
COOLING COIL,Not Detected
VENT ACCESS COVER,DAMAGE
CLAM SHELLS,DEGRADED
SEAWATER,LEAK
Not Detected,Not Detected
Not Detected,BEARINGS
FILTERS,DIRTY
AC PLANT,INOP
VENT PIECE,MISSING
SWITCH FAILURE,Not Detected
VENT DUCT,DAMAGE
SCREWS ACCESS PANEL,STRIPPED
FCU INCORRECTLY,Not Detected
Not Detected,FAULTY
Not Detected,Not Detected
VENT DUCT,MISSING
VENT DUCTING,DETERIORATED
VENT MOTOR,SEIZED
MECHANICAL SEAL,LEAKING
CONDENSER,FOULED
CONDENSER,FOULED
PREHEATER,DEGRADED
PREHEATER,DEGRADED
PREHEATER,DEGRADED
PREHEATER,DETERIORATED
BLANKING PLATE,NOT AUTHORIZED
1MC,INOP
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
RELIEF POP TEST,Not Detected
RELIEF VALVE,POP
TRANSDUCER 1A/C,FAULTY
TRANSDUCER,FAULTY
Not Detected,LACK OF PMS PARTS
Not Detected,LACK OF PMS PARTS
VENT ACCESS COVER,MISSING
MAC UNIT,DAMAGED
Not Detected,CONDENSATION
FCA,BROKEN
FCU FILTERS,DIRTY
FLOW METER,REPLACEMENT
: FAN COIL FILTERS,Not Detected
FCU,INOPERABLE
HANDLE,SEIZED
HANDLE,SEIZED
FCU PANEL,BROKEN
MIC COVER,MISSING
MOTOR,SPARE OVHL
VENT,INOP
VALVE,DEGRADED
VENT,DIRTY
Not Detected,CORRODED
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
FCU FILTERS,Not Detected
Not Detected,Not Detected
Not Detected,REPLACE
EXH SCREEN,NEEDS REPLACE
STRAINER,DEGRADED
STRAINER,DEGRADED
FCA ACCESS PANEL BOLT,BROKEN
Not Detected,Not Detected
POWER SUPPLY,INOP
VENT PANEL,RUSTED
VENT DUCT,MISSING
SCREEN AND FLANGE,CORRODED
VENT DUCTING,HOLES
FCU,WORN GASKETS
STEAM PREHEATER,LEAKING
STEAM PREHEATER,LEAKING
PUSH BUTTON,LATCHES MISSING
VENT TERMINAL,MISSING
SIZE,INCORRECT
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
EXHAUST,Not Detected
TAG,MISSING CABLE
FAN COIL UNIT,CORRODED
Not Detected,SPACE
HOLE,LEAK
CIRCUIT CARDS,FAULTY
CIRCUIT CARDS,FAULTY
CIRCUIT CARDS,FAULTY
CIRCUIT CARDS,FAULTY
CIRCUIT CARDS,FAULTY
CIRCUIT CARDS,FAULTY
VENTILATOR PUMP,LEAKING
VENT SYSTEM,CLEANING
VENT SYSTEM,CLEANING
VENT SYSTEM,CLEANING
SCREEN,MISSING
CHW VALVE,LEAKING
SCREEN,MISSING
SCREEN,MISSING
BEARING,Not Detected
SCREEN,BROKEN
FILTER,DIRTY
FILTER,DIRTY
DUCTING,DEGRADED
VALVE,FAULTY
VALVE,FAULTY
Not Detected,WORN OUT SCREWS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
Not Detected,WORN OUT FILTERS
COOLING COIL,FAULTY
Not Detected,OUT OF CALIBRATION
COOLING COIL,LEAKING
Not Detected,INOP
VENT VALVE,BROKEN
VENT DUCTING,DAMAGED
VENT SYSTEM,CLEANING
DUST COVER,DAMAGED
THERMOSTAT,INOPERABLE
ACCESS COVER,DAMAGED
BYPASS DUCTING,DETERIORATED
VENT COVER,CORRED
VENT SYSTEM,Not Detected
FAN MOTOR,INOPERABLE
FAN,INOPERABLE
VENT SYSTEM,CLEANING
VENT SYSTEM,CLEANING
VENT SYSTEM,Not Detected
VENT SYSTEM,CLEANING
EXHAUST SCREEN,MISSING
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
AIR FILTERS,DEGRADED
VENTILATION ACCESS,Not Detected
VENTILATION PANEL,MISSING
VENT DIFFUSER,MISSING
PREHEATER,DIRTY
VENT SYSTEM,Not Detected
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
VENT INLET,DETERIORATED
PREHEATER,DETERIORATED
PREHEATER,DETERIORATED
PREHEATER,DETERIORATED
ACCESS COVER,MISSING
SUPPLY TERMINAL,MISSING
THERMOSTAT,INOPERABLE
FAN TRIPS OFFLINE,Not Detected
VENT,DIRTY
DEFECTIIVE FAN MOTOR,Not Detected
DRAIN PIPE LINE,CLOGGED
FCU FILTERS,Not Detected
FCU,Not Detected
GAYLORD SYSTEM,INOP
GAYLORD SYSTEM,INOP
FCU ACCESS PANEL,SEIZED
VALVE,DEGRADED
O-RING,PINCHED
AC COMPRESSOR,Not Detected
AC COMPRESSOR,Not Detected
AIR FILTER,REPLACEMENT
AIR FILTER,REPLACEMENT
TUBE,REQUIRED
Not Detected,PMS
Not Detected,PMS
Not Detected,PMS
FCU AIR FILTER,Not Detected
FCU AIR FILTER,Not Detected
FCU,NEEDS FILTER
Not Detected,WORN GASKET
Not Detected,WORN GASKET
DAMPER SWITCH,BROKEN
DAMPER SWITCH,BROKEN
HANDWHEEL,NEEDS PAINTING
FILTER,DIRTY
VLV,FAULTY
VLV,FAULTY
VLV,FAULTY
VLV,FAULTY
VLV,FAULTY
VLV,FAULTY
VLV,FAULTY
VLV,FAULTY
VLV,FAULTY
VLV,FAULTY
FCU INDICATOR,INOP
HANGING,OFF BULKHEAD
HEATER,INOP
ACCESS COVER GASKETS,DAMAGED
FCU,DIRTY
CIRCUIT CARDS,MISSING
CIRCUIT CARDS,MISSING
CIRCUIT CARDS,MISSING
SIEZED CWCV,Not Detected
LAGGING,DETERIORATED
FIBER,BROKEN
VENT SYSTEM,Not Detected
FAN BELLMOUTH,DETERIORATED
PREHEATER,CORRODED
COV LEAKBY,Not Detected
ANNOUNCING SYSTEMS ASSES,"CAPS,"
AIR CONDITIONING PLANT,POET
AIR CONDITIONING PLANT,POET
AIR CONDITIONING PLANT,POET
AIR CONDITIONING PLANT,POET
AIR CONDITIONING PLANT,POET
A/C PLANT CHILLED WATER,POET
VENTILATION INLET PLENUMS,Not Detected
TO IMA,PMS
VALVE,INOPERABLE
VALVE,INOPERABLE
VALVE,INOPERABLE
MOTOR,Not Detected
VENT COVER,MISSING
CONTACTOR,DOES NOT SHUT
HEAT EXCHANGER,FAULTY
BELTS,BROKEN
BELTS,BROKEN
BELTS,BROKEN
BELTS,BROKEN
VALVE,DEGRADED
Not Detected,Not Detected
AC SW CIRC PMP,REINSTALL
AC SW CIRC PMP,REINSTALL
MECHANICAL SEAL,LEAK
MECHANICAL SEAL,LEAK
MECHANICAL SEAL,LEAK
Not Detected,LOW SPEAKER
PIPING UNSECURED,Not Detected
TPE PIPING,LEAKING
Not Detected,Not Detected
LAGGING,DAMAGED
Not Detected,MISSING NUT
SPEAKER,BROKEN
RELIEF VALVE,DEGRADED
EXH FANS,NOT AT CAPACITY
EXHAUST GRATE,DEGRADED
C/W SOL VLV,NOT CONN
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
MHC,CORROSION
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
VENT,DIRTY
DIFUSER,MISSING
FLOW SWITCH,FAULTY
MOTOR,INOP
KEYPAD,MISSING
LAGGING,MISSING
TO OPERATE,Not Detected
VALVE,LEAKING
SWITCH,DAMAGED
FAN COIL UNIT,Not Detected
ACCOMPLISH DR 0655,Not Detected
VLV,Not Detected
MTR CONTROLLER,NEEDS OVERHAUL
SCREWS,MISSING
SCREWS,MISSING
Not Detected,NOT ADJUSTABLE
VENT SCREEN,DAMAGED
STUCK SCREWS,Not Detected
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
Not Detected,REQUIRED
RESTICTOR,REQUIRED
RESTICTOR,REQUIRED
RESTICTOR,REQUIRED
VENT COVER,MISSING
Not Detected,HEADS
RACK UPS,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
CHECK,Not Detected
TYPE,INCORRECT
PREHEATER,PARTIAL
PREHEATER,PARTIAL
PREHEATER,PARTIAL
PREHEATER,PARTIAL
PREHEATER,PARTIAL
PREHEATER,PARTIAL
PREHEATER,PARTIAL
BLENDING VALVE,INOPERABLE
VENT PANEL,RUSTED
EXHAUST VENTALATION,INOP
VENT LACKS ACCESS PANEL,Not Detected
FCU,DIRTY
Not Detected,REQUIRES
A/C HOSE,CORRODED
VENTILATION INLET PLENUMS,Not Detected
VENTILATION INLET PLENUMS,Not Detected
