PART,CONDITION
FAN E-4-117-1 VIBE ANALYSIS,Not Detected
FILTERS,DIRTY
Not Detected,FUALTY
POTABLE WATER VALVES,LEAKING
COIL,LEAKING
Not Detected,ELEMENT
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
MOTOR,BURNED OUT
DIFFUSERS,BROKEN
VALVE,CORRODED
ZINCS,DEGRADED
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
Not Detected,Not Detected
FILTERS,DIRTY
NEW FILTER,Not Detected
VENT PRESERVATION,Not Detected
FCU FILTER,Not Detected
FCU FILTER,Not Detected
FCU FILTER,Not Detected
FCU FILTER,Not Detected
FCU FILTERS,Not Detected
FCU FILTER,Not Detected
FCU FILTER,Not Detected
FCU FILTERS,Not Detected
FCU FILTER,Not Detected
FCU FILTER,Not Detected
FCU FILTER,Not Detected
MOTOR,DEGRADED
VALVE,FAILED
MOTOR,DEGRADED
VENTILATION,INOP
VENTILATION,INOP
Not Detected,Not Detected
FILTERS,Not Detected
AD AMBIENT ALARM,INOP
Not Detected,INOP
AD SWITCH,INOP
SENSOR,INOP
SWITCH,INOP
MOTOR,DEGRADED
MOTOR,DEGRADED
VENT COVER,MISSING
BOLTS,MISSING
STOPPED,WORKING
Not Detected,Not Detected
Not Detected,Not Detected
SCREWS,MISSING
FILTERS,REPLACE
VENT DAMPNER,Not Detected
Not Detected,BROKEN
FILTERS,DEGRADED
FAN COIL UNIT,REQUIRES
FILTERS,Not Detected
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
FILTERS,DEGRADED
ACTIVE BOARD,Not Detected
TRAINING,Not Detected
BE CALIBRATED,CANNOT
Not Detected,Not Detected
AIR FLITER,DIRTY
